,Class 0,Class 1,Class 2
Class 0,51.77489177489177,40.519480519480524,7.705627705627706
Class 1,50.476190476190474,41.64502164502164,7.878787878787878
Class 2,3.29004329004329,4.675324675324675,92.03463203463204
