,Class 0,Class 1,Class 2
Class 0,37.489177489177486,48.658008658008654,13.852813852813853
Class 1,38.961038961038966,46.40692640692641,14.632034632034632
Class 2,23.809523809523807,30.476190476190478,45.714285714285715
