,Task 1,Task 2,Task 3,Task 4
Task 1,99.35691318327974,0.3215434083601286,0.0,0.3215434083601286
Task 2,0.0,100.0,0.0,0.0
Task 3,0.0,0.31746031746031744,99.04761904761905,0.6349206349206349
Task 4,0.3144654088050315,0.0,0.0,99.68553459119497
