,Task 1,Task 2,Task 3,Task 4
Task 1,94.77947794779477,1.8001800180018002,2.07020702070207,1.3501350135013501
Task 2,2.7827648114901256,94.7935368043088,1.3464991023339317,1.0771992818671454
Task 3,2.515723270440252,1.527403414195867,94.60916442048517,1.3477088948787064
Task 4,4.946043165467626,2.9676258992805753,4.406474820143885,87.67985611510791
