,Task 1,Task 2,Task 3
Task 1,77.14285714285715,7.878787878787878,14.978354978354979
Task 2,18.441558441558442,66.14718614718615,15.411255411255413
Task 3,0.08658008658008658,0.0,99.91341991341992
