,Task 1,Task 2,Task 3
Task 1,70.12987012987013,28.744588744588746,1.1255411255411256
Task 2,24.06926406926407,74.89177489177489,1.0389610389610389
Task 3,2.857142857142857,1.645021645021645,95.4978354978355
