,Task 1,Task 2,Task 3
Task 1,59.3939393939394,1.5584415584415585,39.04761904761905
Task 2,30.21645021645022,32.98701298701299,36.79653679653679
Task 3,1.471861471861472,0.0,98.52813852813853
