,Task 1,Task 2,Task 3
Task 1,53.288364249578414,26.475548060708263,20.236087689713322
Task 2,37.60539629005059,40.80944350758853,21.585160202360875
Task 3,0.0,0.33726812816188867,99.6627318718381
