,Task 1,Task 2,Task 3
Task 1,59.527824620573355,13.237774030354132,27.234401349072513
Task 2,5.81787521079258,69.05564924114671,25.126475548060707
Task 3,0.0,1.5177065767284992,98.4822934232715
