,Task 1,Task 2,Task 3
Task 1,76.64418212478921,22.09106239460371,1.2647554806070826
Task 2,36.17200674536256,61.72006745362564,2.1079258010118047
Task 3,0.8431703204047217,1.2647554806070826,97.8920741989882
