,Class 0,Class 1,Class 2
Class 0,35.58178752107926,54.89038785834739,9.527824620573355
Class 1,38.195615514333895,51.433389544688026,10.370994940978077
Class 2,10.03372681281619,16.694772344013494,73.27150084317033
