,Task 1,Task 2,Task 3
Task 1,72.03463203463204,19.480519480519483,8.484848484848486
Task 2,22.770562770562773,68.57142857142857,8.658008658008658
Task 3,23.116883116883116,21.818181818181817,55.064935064935064
