,Class 0,Class 1,Class 2
Class 0,43.722943722943725,53.41991341991342,2.857142857142857
Class 1,41.2987012987013,56.62337662337662,2.0779220779220777
Class 2,1.645021645021645,0.5194805194805194,97.83549783549783
