,Class 0,Class 1,Class 2
Class 0,41.55844155844156,27.186147186147185,31.255411255411254
Class 1,37.4025974025974,29.09090909090909,33.506493506493506
Class 2,29.264069264069263,22.337662337662337,48.3982683982684
