,Task 1,Task 2,Task 3
Task 1,67.18614718614718,20.952380952380953,11.861471861471863
Task 2,17.316017316017316,74.89177489177489,7.792207792207792
Task 3,15.584415584415584,11.515151515151516,72.9004329004329
