,Task 1,Task 2,Task 3
Task 1,67.09956709956711,27.532467532467532,5.367965367965368
Task 2,37.056277056277054,57.14285714285714,5.800865800865801
Task 3,9.523809523809524,7.012987012987012,83.46320346320346
