,Class 0,Class 1,Class 2
Class 0,41.2987012987013,33.76623376623377,24.935064935064936
Class 1,38.18181818181819,35.15151515151515,26.666666666666668
Class 2,11.948051948051948,10.303030303030303,77.74891774891775
