,Task 1,Task 2,Task 3
Task 1,61.551433389544684,34.73861720067454,3.709949409780776
Task 2,42.49578414839797,55.05902192242833,2.4451939291736933
Task 3,21.500843170320405,16.947723440134908,61.551433389544684
