,Task 1,Task 2,Task 3
Task 1,36.76222596964587,62.81618887015177,0.42158516020236086
Task 2,34.48566610455312,65.34569983136593,0.16863406408094433
Task 3,39.37605396290051,53.541315345699836,7.082630691399664
