,Task 1,Task 2,Task 3
Task 1,61.551433389544684,33.473861720067454,4.974704890387859
Task 2,31.02866779089376,65.09274873524453,3.87858347386172
Task 3,9.780775716694773,12.39460370994941,77.82462057335582
