,Task 1,Task 2,Task 3
Task 1,80.52276559865092,17.03204047217538,2.4451939291736933
Task 2,11.467116357504215,85.7504215851602,2.782462057335582
Task 3,2.1079258010118047,2.6138279932546373,95.27824620573357
