,Task 1,Task 2,Task 3
Task 1,76.30691399662733,20.657672849915684,3.0354131534569984
Task 2,17.45362563237774,80.18549747048904,2.360876897133221
Task 3,7.672849915682968,6.070826306913997,86.25632377740303
